plaza,cantidad_plazas,remuneracion_min,remuneracion_max
COORDINADOR DE CAPACITACION FUNCIONARIOS,1,"42,130","42,130"
COORDINADOR DE CAPACITACION METROPOLITANA,1,"36,155","36,155"
COORDINADOR DE CAPACITACION MUNICIPIOS,1,"42,130","42,130"
COORDINADOR DE CAPITAL HUMANO Y BECAS,1,"36,155","36,155"
COORDINADOR DE CENTRO PISCICOLA,6,"17,088","17,088"
COORDINADOR DE COMPRAS,5,"17,088","17,088"
COORDINADOR DE COMPRAS A,1,"18,297","18,297"
COORDINADOR DE COMPROBACION DE GASTOS,1,"19,759","19,759"
COORDINADOR DE COMUNICACION INTERNA,2,"19,759","19,759"
COORDINADOR DE COMUNICACION Y APOYO,1,"16,725","16,725"
COORDINADOR DE COMUNICACION Y APOYO B,1,"18,297","18,297"
COORDINADOR DE CONCILIACION,1,"36,155","36,155"
COORDINADOR DE CONSTRUCCION,1,"18,297","18,297"
COORDINADOR DE CONTROL DE GESTION,2,"42,130","42,130"
COORDINADOR DE CONTROL DE INVERSION PUBLICA,2,"22,453","22,453"
COORDINADOR DE CONTROL DE LA GESTION,1,"18,297","18,297"
COORDINADOR DE CONTROL DEL PADRON VEHICULAR,1,"17,088","17,088"
COORDINADOR DE CONTROL INSTITUCIONAL,1,"38,852","38,852"
COORDINADOR DE CONTROL VEHICULAR,1,"16,246","16,246"
COORDINADOR DE CONTROL Y SEGUIMIENTO A,7,"19,759","19,759"
COORDINADOR DE COOPERACION INTERNACIONAL,1,"66,873","66,873"
COORDINADOR DE CORRESPONDENCIA,1,"14,133","14,133"
COORDINADOR DE COSTOS Y CONSTRUCCION,2,"19,759","19,759"
COORDINADOR DE COTIZACIONES,1,"20,272","20,272"
COORDINADOR DE CTROS DE ATN PRIMARIA EN ADICCIONES,6,"22,453","22,453"
COORDINADOR DE DANZA,1,"22,453","22,453"
COORDINADOR DE DATOS ABIERTOS,1,"38,852","38,852"
COORDINADOR DE DELEGACIONES FORANEAS,1,"36,155","36,155"
COORDINADOR DE DESARROLLO DE PROVEEDORES,1,"25,078","25,078"
COORDINADOR DE DESARROLLO EDUCATIVO PRIMARIA,1,"33,470","33,470"
COORDINADOR DE DESARROLLO INSTITUCIONAL,2,"32,286","32,286"
COORDINADOR DE DESARROLLO POLITICO Y ATENCION A LA PROBLEMATICA DEL ESTADO,1,"28,072","28,072"
COORDINADOR DE DESARROLLO POLITICO Y ATENCION A LA PROBLEMATICA DEL ESTADO B,1,"36,155","36,155"
COORDINADOR DE DESARROLLO RURAL A,1,"22,453","22,453"
COORDINADOR DE DESARROLLO RURAL B,4,"19,759","19,759"
COORDINADOR DE DESARROLLO RURAL C,18,"18,297","18,297"
COORDINADOR DE DESARROLLO SOCIAL A,1,"28,072","28,072"
COORDINADOR DE DEUDA PUBLICA DIRECTA,1,"32,286","32,286"
COORDINADOR DE DEUDA PUBLICA INDIRECTA,1,"32,286","32,286"
COORDINADOR DE DICTAMENES TECNICOS,1,"14,733","14,733"
COORDINADOR DE DISEÑO,1,"17,088","17,088"
COORDINADOR DE DIVISION,30,"31,526","31,526"
COORDINADOR DE ECOS CULTURA,2,"22,453","22,453"
COORDINADOR DE EDUCACION INICIAL,1,"16,246","16,246"
COORDINADOR DE ENLACE,3,"20,272","22,453"
COORDINADOR DE ENLACE DE COMUNICACION,15,"36,155","36,155"
COORDINADOR DE ENLACE DE PUEBLOS INDIGENAS,1,"38,852","38,852"
COORDINADOR DE ENLACE DE SALAS EN PENAL DE PUENTE GRANDE,1,"25,078","25,078"
COORDINADOR DE ENLACE INTERINSTITUCIONAL,3,"17,088","17,088"
COORDINADOR DE ENLACE INTERNACIONAL,1,"22,453","22,453"
COORDINADOR DE ENLACES UNIDAD DE PRESUPUESTO PARTICIPATIVO,1,"22,453","22,453"
COORDINADOR DE ENTORNO SOCIOECONOMICO,1,"25,078","25,078"
COORDINADOR DE EQUIPOS DE COMUNICACION,1,"14,733","14,733"
COORDINADOR DE ESTADISTICA Y POLITICA CRIMINAL,4,"18,297","18,297"
COORDINADOR DE ESTUDIOS Y PROYECTOS NORMATIVOS,1,"25,078","25,078"
COORDINADOR DE EVALUACION Y SEGUIMIENTO,4,"18,297","18,297"
COORDINADOR DE EVALUACION Y SEGUIMIENTO A,2,"42,130","42,130"
COORDINADOR DE EVALUACION Y SEGUIMIENTO B,1,"38,852","38,852"
COORDINADOR DE EVENTOS A,3,"17,088","17,088"
COORDINADOR DE EVENTOS F,1,"50,390","50,390"
COORDINADOR DE FICHAS Y MENSAJES,1,"42,130","42,130"
COORDINADOR DE FINANCIAMIENTO RURAL,1,"25,078","25,078"
COORDINADOR DE FISCALIA,1,"18,808","18,808"
COORDINADOR DE FORTALECIMIENTO MUNICIPAL,1,"36,155","36,155"
COORDINADOR DE FOVIMJAL,1,"22,832","22,832"
COORDINADOR DE GABINETE,1,"28,072","28,072"
COORDINADOR DE GASTOS MENORES,1,"18,297","18,297"
COORDINADOR DE GESTION DE ASUNTOS FEDERALES,1,"50,390","50,390"
COORDINADOR DE GESTION DE INNOVACION Y EMPRENDIMIENTO,1,"38,852","38,852"
COORDINADOR DE GESTION DE INNOVACION Y EMPRENDIMIENTO DE DESARROLLO ECONOMICO,1,"42,130","42,130"
COORDINADOR DE GESTION REGIONAL,1,"22,453","22,453"
COORDINADOR DE GESTION URBANA,1,"50,390","50,390"
COORDINADOR DE GESTION Y OPERACION DE EDUCACION PREESCOLAR,1,"33,470","33,470"
COORDINADOR DE GIRAS,1,"50,390","50,390"
COORDINADOR DE INCORPORACION REVALIDACION Y EQUIVALENCIA,1,"33,470","33,470"
COORDINADOR DE INFORMACION,2,"32,286","32,286"
COORDINADOR DE INFORMACION A,1,"36,155","36,155"
COORDINADOR DE INFORMACION B,1,"38,852","38,852"
COORDINADOR DE INFORMACION ESTRATEGICA,1,"18,297","18,297"
COORDINADOR DE INFORMACION ESTRATEGICA B,1,"22,453","22,453"
COORDINADOR DE INFORMACION REGIONAL,5,"18,297","18,297"
COORDINADOR DE INFORMACION SEGUIMIENTO Y EVALUACION,2,"36,155","36,155"
COORDINADOR DE INFORMACION SEGUIMIENTO Y EVALUACION DE PROGRAMAS A,3,"28,072","28,072"
COORDINADOR DE INFORMACION SEGUIMIENTO Y EVALUACION DE PROYECTOS,1,"32,286","32,286"
COORDINADOR DE INFORMATICA,4,"18,297","18,297"
COORDINADOR DE INFORMATICA A,16,"22,453","22,453"
COORDINADOR DE INFORMATICA B,12,"19,759","19,759"
COORDINADOR DE INFORMATICA C,3,"25,078","25,078"
COORDINADOR DE INFORMATICA DE RURAL,1,"32,286","32,286"
COORDINADOR DE INFRAESTRUCTURA RURAL,1,"18,297","18,297"
COORDINADOR DE INGRESOS DIVERSOS Y FINANCIAMIENTO,1,"19,759","19,759"
COORDINADOR DE INNOVACION SOCIAL Y SECTORIAL,1,"38,852","38,852"
COORDINADOR DE INSTALACIONES ELECTROMECANICAS,1,"25,078","25,078"
COORDINADOR DE INSTITUCIONES DE EDUCACION SUPERIOR,1,"38,852","38,852"
COORDINADOR DE INTEGRACION CONCILIACION Y DEPURACION,1,"42,130","42,130"
COORDINADOR DE INVESTIGACION,1,"28,072","28,072"
COORDINADOR DE INVESTIGACION B,1,"36,155","36,155"
COORDINADOR DE INVESTIGACION Y PROYECTOS,2,"19,759","19,759"
COORDINADOR DE LA COMISION DE ADQUISICIONES,12,"19,759","19,759"
COORDINADOR DE LA RED NACIONAL DE GOBERNANZA Y REDES INTERNACIONALES DE PARTICIPACION CI,1,"42,130","42,130"
COORDINADOR DE LA UNIDAD DE INVESTIG DE HOMICIDIOS DOLOSOS,1,"48,988","48,988"
COORDINADOR DE LO CONSULTIVO FISCAL,1,"28,072","28,072"
COORDINADOR DE LOGISTICA,1,"50,390","50,390"
COORDINADOR DE LOGISTICA Y PROTOCOLO,1,"19,759","19,759"
COORDINADOR DE LOS CENTROS ADMVOS PRIMARIOS DEL CECAJ,1,"28,072","28,072"
COORDINADOR DE LOS CONSEJOS REGIONALES DE SEG PUBLICA,1,"25,078","25,078"
COORDINADOR DE MANTENIMIENTO,2,"18,297","18,297"
COORDINADOR DE MANTENIMIENTO A,3,"19,759","19,759"
COORDINADOR DE MANTENIMIENTO DE REDES,1,"20,272","20,272"
COORDINADOR DE MANTENIMIENTO VEHICULAR,2,"17,088","17,088"
COORDINADOR DE MEDICINA DEL TRABAJO,1,"36,155","36,155"
COORDINADOR DE MEDIOS DE COMUNCACION DEL CECAJ,1,"17,088","17,088"
COORDINADOR DE MEDIOS DIGITALES,1,"25,078","25,078"
COORDINADOR DE MONITOREO,1,"36,155","36,155"
COORDINADOR DE MOVIMIENTOS AL IMSS,1,"25,078","25,078"
COORDINADOR DE NOMINA DEL EJECUTIVO,1,"18,297","18,297"
COORDINADOR DE NORMATIVIDAD ADMINISTRATIVA,2,"19,759","19,759"
COORDINADOR DE NORMATIVIDAD DE CAPACITACION,1,"22,453","22,453"
COORDINADOR DE NORMATIVIDAD DE SELECCION,1,"22,453","22,453"
COORDINADOR DE NOTIFICACION FISCAL,1,"18,297","18,297"
COORDINADOR DE OBRA,6,"19,759","19,759"
COORDINADOR DE OBRA CIVIL,1,"25,078","25,078"
COORDINADOR DE OPERACION DEL SISTEMA,1,"19,759","19,759"
COORDINADOR DE OPTIMIZACION DE RECURSOS,1,"22,453","22,453"
COORDINADOR DE OPTIMIZACION DE RECURSOS A,2,"19,759","19,759"
COORDINADOR DE OPTIMIZACION DE RECURSOS HUMANOS,1,"19,759","19,759"
COORDINADOR DE ORDENAMIENTO ECOLOGICO,1,"19,759","19,759"
COORDINADOR DE ORIENTACION Y CAPACITACION DEL CECAJ,1,"28,072","28,072"
COORDINADOR DE PERITOS A,2,"32,286","32,286"
COORDINADOR DE PLAN MUNICIPAL DEL CECAJ,1,"19,759","19,759"
COORDINADOR DE PLANEACION,2,"17,654","22,453"
COORDINADOR DE PLANEACION E INFORMACION A,5,"28,072","28,072"
COORDINADOR DE PLANEACION E INFORMACION B,1,"32,286","32,286"
COORDINADOR DE PLANEACION OPERATIVA DE LA POLICIA INVESTIG,1,"48,988","48,988"
COORDINADOR DE PLANEACION SEGUIMIENTO Y EVALUACION,6,"25,078","25,078"
COORDINADOR DE PLANEACION SEGUIMIENTO Y EVALUACION A,3,"22,453","22,453"
COORDINADOR DE PLANEACION Y CONTROL PRESUPUESTAL,1,"42,130","42,130"
COORDINADOR DE PLANEACION Y EVALUACION EDUCATIVA,1,"65,679","65,679"
COORDINADOR DE POLIGRAFIA,1,"25,078","25,078"
COORDINADOR DE POLITICA Y PROSPECTIVA,1,"38,852","38,852"
COORDINADOR DE PROCESOS CONSULTIVOS,1,"36,155","36,155"
COORDINADOR DE PROCESOS FISCALES,1,"36,155","36,155"
COORDINADOR DE PROCESOS PRESUPUESTALES,1,"38,852","38,852"
COORDINADOR DE PROCESOS SISTEMATIZACION Y COMUNICACION DE INFORMACION DE CONSULTA,1,"36,155","36,155"
COORDINADOR DE PROCURADURIA,1,"28,072","28,072"
COORDINADOR DE PROGRAMAS EDUCATIVOS,1,"22,832","22,832"
COORDINADOR DE PROGRAMAS SOCIALES,1,"19,759","19,759"
COORDINADOR DE PROMOCION COMUNITARIA,1,"17,088","17,088"
COORDINADOR DE PROMOCION ECONOMICA REGIONAL,1,"17,088","17,088"
COORDINADOR DE PROTECCION AL AMBIENTE,1,"19,759","19,759"
COORDINADOR DE PROTECCION AL PATRIMONIO VEHICULAR,1,"32,286","32,286"
COORDINADOR DE PROTECCION DE RECURSOS NATURALES,2,"19,759","19,759"
COORDINADOR DE PROTOCOLO ALBA,1,"36,323","36,323"
COORDINADOR DE PROYECTO,8,"58,645","58,645"
COORDINADOR DE PROYECTO Y EVALUACION,3,"18,297","18,297"
COORDINADOR DE PROYECTOS,1,"19,759","19,759"
COORDINADOR DE PROYECTOS A,1,"16,725","16,725"
COORDINADOR DE PROYECTOS ARQUITECTONICOS,1,"25,078","25,078"
COORDINADOR DE PROYECTOS D,5,"22,453","22,453"
COORDINADOR DE PROYECTOS DE RECURSOS MATERIALES,1,"20,272","20,272"
COORDINADOR DE PROYECTOS DE SALUD,1,"28,072","28,072"
COORDINADOR DE PROYECTOS E,2,"36,155","36,155"
COORDINADOR DE PROYECTOS ESTRATEGICOS,4,"28,072","28,072"
COORDINADOR DE PROYECTOS ESTRATEGICOS D,8,"32,286","32,286"
COORDINADOR DE PROYECTOS ESTRATEGICOS F,2,"38,852","38,852"
COORDINADOR DE PROYECTOS ESTRATEGICOS G,1,"42,130","42,130"
COORDINADOR DE PROYECTOS ESTRATEGICOS I,2,"50,390","50,390"
COORDINADOR DE PROYECTOS F,3,"38,852","38,852"
COORDINADOR DE PSICOLOGIA,1,"25,078","25,078"
COORDINADOR DE PUBLICACIONES,1,"19,759","19,759"
COORDINADOR DE RACIONALIZACION DE ESPACIOS,1,"25,078","25,078"
COORDINADOR DE RECAUDACION FORANEA,2,"22,453","22,453"
COORDINADOR DE RECAUDACION METROPOLITANA,1,"32,286","32,286"
COORDINADOR DE RECAUDACION METROPOLITANA B,1,"45,429","45,429"
COORDINADOR DE RECUPERACION DE CHEQUES,1,"15,080","15,080"
COORDINADOR DE RECURSOS FEDERALES AL EMPLEO,1,"22,453","22,453"
COORDINADOR DE RECURSOS FINANCIEROS,2,"18,297","18,297"
COORDINADOR DE RECURSOS FINANCIEROS Y MATERIALES,1,"22,453","22,453"
COORDINADOR DE RECURSOS FINANCIEROS Y MATERIALES A,1,"38,852","38,852"
COORDINADOR DE RECURSOS HUMANOS,6,"18,297","18,297"
COORDINADOR DE RECURSOS HUMANOS A,3,"19,759","19,759"
COORDINADOR DE RECURSOS HUMANOS C,1,"32,286","32,286"
COORDINADOR DE RECURSOS HUMANOS Y LABORAL,2,"32,286","32,286"
COORDINADOR DE RECURSOS MATERIALES,4,"18,297","18,297"
COORDINADOR DE RECURSOS MATERIALES A,2,"19,759","19,759"
COORDINADOR DE RED DE PLANEACION ESTATAL Y MUNICIPAL,1,"17,088","17,088"
COORDINADOR DE RED GLOBAL DIGITAL,1,"28,072","28,072"
COORDINADOR DE RED INTERMUNICIPAL DE GOBERNANZA,1,"19,759","19,759"
COORDINADOR DE REDES,1,"20,272","20,272"
COORDINADOR DE REGION,9,"22,453","22,453"
COORDINADOR DE REGISTROS,1,"16,725","16,725"
COORDINADOR DE REGISTROS A,2,"17,088","17,088"
COORDINADOR DE REMATES,1,"38,852","38,852"
COORDINADOR DE REVISION DE ACTOS ADMINISTRATIVOS,1,"22,453","22,453"
COORDINADOR DE SEGUIMIENTO,16,"18,297","18,297"
COORDINADOR DE SEGUIMIENTO A,2,"17,088","17,088"
COORDINADOR DE SEGUIMIENTO DE IP,2,"18,297","18,297"
COORDINADOR DE SEGUIMIENTO DE PROYECTOS,1,"14,733","14,733"
COORDINADOR DE SEGUIMIENTO Y EVALUACION DE PROYECTOS,1,"25,078","25,078"
COORDINADOR DE SEGUROS,1,"25,078","25,078"
COORDINADOR DE SERVICIOS AL CONTRIBUYENTE,1,"32,286","32,286"
COORDINADOR DE SERVICIOS ESPECIALIZADOS,1,"14,733","14,733"
COORDINADOR DE SERVICIOS GENERALES,2,"22,453","33,470"
COORDINADOR DE SERVICIOS GENERALES A,1,"19,759","19,759"
COORDINADOR DE SISTEMAS E INFORMATICA,1,"36,155","36,155"
COORDINADOR DE SISTEMAS Y TRANSPARENCIA,1,"28,072","28,072"
COORDINADOR DE SISTEMATIZACION DE INFORMACION DEL GOBIERNO Y LOS MUNICIPIOS,1,"42,130","42,130"
COORDINADOR DE SOCIALIZACION DE LA INFORMACION MUNICIPIOS REGIONALES,1,"22,453","22,453"
COORDINADOR DE SOPORTE TECNICO,1,"19,759","19,759"
COORDINADOR DE SOPORTE TECNICO D,1,"42,130","42,130"
COORDINADOR DE SUBCONSEJOS DEL COESIDA,1,"28,072","28,072"
COORDINADOR DE TECNICOS EN COMPUTACION,10,"8,116","8,116"
COORDINADOR DE TIMBRADO DE NOMINA,1,"32,286","32,286"
COORDINADOR DE TRADUCCIONES,1,"42,130","42,130"
COORDINADOR DE TRAMITES,1,"16,725","16,725"
COORDINADOR DE TRANSPARENCIA,1,"18,297","18,297"
COORDINADOR DE UNIDAD DE ENLACE DE TRANSPARENCIA,1,"28,072","28,072"
COORDINADOR DE UNIDAD DE TRANSPARENCIA E INFORMACION,1,"28,072","28,072"
COORDINADOR DE VINCULACION,1,"32,286","32,286"
COORDINADOR DE VINCULACION A,1,"38,852","38,852"
COORDINADOR DE VINCULACION CON DEPENDENCIAS,1,"18,297","18,297"
COORDINADOR DE VINCULACION EXTERIOR,1,"19,759","19,759"
COORDINADOR DE VINCULACION INTERINSTITUCIONAL Y SOCIAL,1,"25,078","25,078"
COORDINADOR DE VINCULACION INTERNACIONAL,1,"36,155","36,155"
COORDINADOR DE VINCULACION LABORAL,1,"36,155","36,155"
COORDINADOR DE VINCULACION MULTISECTORIAL,1,"36,155","36,155"
COORDINADOR DE VINCULACION SOCIAL,1,"32,286","32,286"
COORDINADOR DE VINCULACION Y GESTION,1,"22,453","22,453"
COORDINADOR DE VINCULACION Y GESTION A,1,"25,078","25,078"
COORDINADOR DE VISITADURIA,2,"22,453","22,453"
COORDINADOR DE VISITADURIA A,1,"25,078","25,078"
COORDINADOR DE ZONA,4,"25,078","25,078"
COORDINADOR DE ZONA A,3,"22,453","22,453"
COORDINADOR DEL AREA DE ANALISIS DE CONTEXTO,1,"58,645","58,645"
COORDINADOR DEL DESPACHO DEL CONTRALOR,1,"19,759","19,759"
COORDINADOR DEL FOMENTO DE ZONAS ESTRATEGICAS,1,"22,453","22,453"
COORDINADOR DEL PROCEDIMIENTO ADMINISTRATIVO DE EJECUCION,5,"17,088","17,088"
COORDINADOR DEL PROGRAMA DE TURISMO ESCOLAR,2,"25,729","25,729"
COORDINADOR DEL SERVICIO DE PROTECCION ESTATAL,1,"60,901","60,901"
COORDINADOR DEL VOLUNTARIADO,1,"16,725","16,725"
COORDINADOR DEPARTAMENTAL,5,"10,964","10,964"
COORDINADOR E,3,"14,332","14,332"
COORDINADOR E1,1,"14,812","14,812"
COORDINADOR E2,1,"15,525","15,525"
COORDINADOR E3,3,"15,937","15,937"
COORDINADOR EJECUTIVO,19,"19,759","19,759"
COORDINADOR EJECUTIVO A,4,"22,453","22,453"
COORDINADOR EJECUTIVO DE AREA NATURAL PROTEGIDA,2,"25,078","25,078"
COORDINADOR EJECUTIVO DE RECURSOS HUMANOS,2,"22,453","22,453"
COORDINADOR EN DELEGACION REGIONAL,1,"20,272","20,272"
COORDINADOR EN MANTENIMIENTO DE AREAS DE SEGURIDAD,1,"22,453","22,453"
COORDINADOR EN TECNICAS DE COMUNICACION,3,"14,133","14,733"
COORDINADOR ESPECIAL EN MATERIA JURIDICA,1,"36,155","36,155"
COORDINADOR ESPECIALIZADO,64,"19,759","19,759"
COORDINADOR ESPECIALIZADO A,45,"25,078","25,078"
COORDINADOR ESPECIALIZADO DE INFORMACION Y ESTADISTICAS,2,"28,072","28,072"
COORDINADOR ESPECIALIZADO DE INFORMACION Y ESTADISTICAS A,2,"25,078","25,078"
COORDINADOR ESPECIALIZADO DE INFORMACION Y ESTADISTICAS B,1,"50,390","50,390"
COORDINADOR ESPECIALIZADO DE OBRAS PUBLICAS,1,"25,078","25,078"
COORDINADOR ESPECIALIZADO DEL CECAJ,1,"19,759","19,759"
COORDINADOR ESPECIALIZADO E,11,"18,297","18,297"
COORDINADOR ESPECIALIZADO EN INFORMATICA,10,"32,286","32,286"
COORDINADOR ESPECIALIZADO EN INFORMATICA A,3,"28,072","28,072"
COORDINADOR ESPECIALIZADO EN MEDIO AMBIENTE,1,"28,072","28,072"
COORDINADOR ESPECIALIZADO F,20,"22,453","22,453"
COORDINADOR ESPECIALIZADO H,13,"28,072","28,072"
COORDINADOR ESPECIALIZADO I,10,"32,286","32,286"
COORDINADOR ESPECIALIZADO ISO 9000,1,"22,453","22,453"
COORDINADOR ESPECIALIZADO J,6,"36,155","36,155"
COORDINADOR ESPECIALIZADO K,12,"38,852","38,852"
COORDINADOR ESPECIALIZADO L,6,"42,130","42,130"
COORDINADOR ESPECIALIZADO PAE,3,"19,759","19,759"
COORDINADOR ESTATAL DE REDES Y TELECOMUNICACIONES,3,"25,078","25,078"
COORDINADOR FINANCIERO,2,"18,297","18,297"
COORDINADOR FINANCIERO C,2,"25,078","25,078"
COORDINADOR FINANCIERO CONTABLE,4,"22,453","22,453"
COORDINADOR FISCAL,1,"36,155","36,155"
COORDINADOR GENERAL A,15,"38,852","38,852"
COORDINADOR GENERAL B,2,"66,873","66,873"
COORDINADOR GENERAL CIUDADES MEDIAS,1,"42,130","42,130"
COORDINADOR GENERAL DE ANALISIS ESTRATEGICO,1,"121,508","121,508"
COORDINADOR GENERAL DE ANALISIS Y PROSPECTIVA SOCIAL,1,"58,645","58,645"
COORDINADOR GENERAL DE ATENCION AUDITORIAS,1,"38,852","38,852"
COORDINADOR GENERAL DE COMUNICACION,1,"121,508","121,508"
COORDINADOR GENERAL DE EDUCACION Y CULTURA PARA LA SUSTENTABILIDAD,1,"38,852","38,852"
COORDINADOR GENERAL DE EVALUACION DE IMPACTO AMBIENTAL,1,"38,852","38,852"
COORDINADOR GENERAL DE EVALUACION DE LA GESTION PUBLICA ESPECIALIDAD SECTORIAL,1,"22,453","22,453"
COORDINADOR GENERAL DE EVALUACION INSTITUCIONAL,1,"19,759","19,759"
COORDINADOR GENERAL DE GEOMATICA E INFORMACION AMBIENTAL Y TERRITORIAL,1,"38,852","38,852"
COORDINADOR GENERAL DE GESTION GUBERNAMENTAL,1,"90,438","90,438"
COORDINADOR GENERAL DE GESTION INTEGRAL DE RESIDUOS,1,"38,852","38,852"
COORDINADOR GENERAL DE GESTION TRANSVERSAL ANTE EL CAMBIO CLIMATICO,1,"38,852","38,852"
COORDINADOR GENERAL DE GOBERNANZA Y PAZ,1,"42,130","42,130"
COORDINADOR GENERAL DE GOBERNANZA Y PAZ B,1,"50,390","50,390"
COORDINADOR GENERAL DE INNOVACION GUBERNAMENTAL,1,"121,508","121,508"
COORDINADOR GENERAL DE MANEJO DE FUEGO,1,"38,852","38,852"
COORDINADOR GENERAL DE MUNICIPIOS METROPOLITANOS,1,"42,130","42,130"
COORDINADOR GENERAL DE MUNICIPIOS REGIONAL,1,"42,130","42,130"
COORDINADOR GENERAL DE NORMATIVIDAD Y ESPECIFICACIONES TECNICAS,1,"38,852","38,852"
COORDINADOR GENERAL DE PLANEACION DEL DESARROLLO DEL PODER EJECUTIVO,1,"22,453","22,453"
COORDINADOR GENERAL DE PLANEACION DEL DESARROLLO DEL PODER LEGISLATIVO,2,"19,759","19,759"
COORDINADOR GENERAL DE PLANEACION DEL DESARROLLO EN GESTION MUNICIPAL,1,"32,286","32,286"
COORDINADOR GENERAL DE PLANEACION DEL DESARROLLO EN GESTION REGIONAL,1,"18,297","18,297"
COORDINADOR GENERAL DE PLANEACION Y SEGUIMIENTO DE DISEÑO GESTION Y RESULTADOS DE PROGR,1,"17,088","17,088"
COORDINADOR GENERAL DE PLANEACION Y SEGUIMIENTO INSTITUCIONAL DEL PORDER EJECUTIVO,1,"22,453","22,453"
COORDINADOR GENERAL DE PROYECTOS,7,"45,429","45,429"
COORDINADOR GENERAL DE PROYECTOS B,3,"42,130","42,130"
COORDINADOR GENERAL DE PROYECTOS D,1,"38,852","38,852"
COORDINADOR GENERAL DE PROYECTOS ESTRATEGICOS,1,"58,645","58,645"
COORDINADOR GENERAL DE PROYECTOS ESTRATEGICOS B,1,"50,390","50,390"
COORDINADOR GENERAL DE PROYECTOS ESTRATEGICOS D,1,"82,120","82,120"
COORDINADOR GENERAL DE PROYECTOS ESTRATEGICOS F,1,"16,725","16,725"
COORDINADOR GENERAL DE PROYECTOS F,2,"50,390","50,390"
COORDINADOR GENERAL DE RECURSOS NATURALES,1,"38,852","38,852"
COORDINADOR GENERAL DE REGULACION DE EMISIONES VEHICULARES,1,"38,852","38,852"
COORDINADOR GENERAL DE SEGUIMIENTO DE INDICADORES DE SEGURIDAD PUBLICA GOBIERNO Y DESAR,1,"22,453","22,453"
COORDINADOR GENERAL DE SEGUIMIENTO DE INDICADORES DEL DESARROLLO SOCIAL Y ECONOMICO,1,"22,453","22,453"
COORDINADOR GENERAL DE SEGUIMIENTO DE INDICADORES INSTITUCIONALES,1,"22,453","22,453"
COORDINADOR GENERAL DE SUSTENTABILIDAD DEL SECTOR PRODUCTIVO,1,"38,852","38,852"
COORDINADOR GENERAL DE TRANSPARENCIA,1,"73,783","73,783"
COORDINADOR GENERAL DE VERIFICACION DE LA CALIDAD DE LA EVIDENCIA,1,"17,088","17,088"
COORDINADOR GENERAL ESTRATEGICO DE CRECIMIENTO Y DESARROLLO ECONOMICO,1,"142,283","142,283"
COORDINADOR GENERAL ESTRATEGICO DE DESARROLLO SOCIAL,1,"142,283","142,283"
COORDINADOR GENERAL ESTRATEGICO DE GESTION DEL TERRITORIO,1,"142,283","142,283"
COORDINADOR GENERAL ESTRATEGICO DE SEGURIDAD,1,"142,283","142,283"
COORDINADOR GENERAL Y SEGUIMIENTO INSTITUCIONAL DE ACCIONES Y SERVICIOS,1,"22,453","22,453"
COORDINADOR I,6,"18,297","18,297"
COORDINADOR INFORMATICO DE INGRESOS,1,"28,072","28,072"
COORDINADOR INTERINSTITUCIONAL Y MUNICIPAL DEL CECAJ,1,"32,286","32,286"
COORDINADOR INTERNO,3,"18,297","18,297"
COORDINADOR J,5,"19,759","19,759"
COORDINADOR JURIDICO,15,"22,453","22,832"
COORDINADOR JURIDICO A,11,"19,759","19,759"
COORDINADOR JURIDICO B,38,"18,297","18,297"
COORDINADOR JURIDICO C,3,"25,078","25,078"
COORDINADOR JURIDICO D,2,"28,072","28,072"
COORDINADOR JURIDICO DE INGRESOS,1,"32,286","32,286"
COORDINADOR JURIDICO DEL CECAJ,1,"17,088","17,088"
COORDINADOR JURIDICO F,4,"36,155","36,155"
COORDINADOR JURIDICO H,3,"42,130","42,130"
COORDINADOR JURIDICO I,1,"45,429","45,429"
COORDINADOR JURIDICO Y DE INTEGRACION DE RESULTADOS,1,"25,078","25,078"
COORDINADOR LOGISTICO,1,"19,759","19,759"
COORDINADOR M,18,"28,072","28,072"
COORDINADOR MEDICO Y TOXICOLOGICO,1,"25,078","25,078"
COORDINADOR NIVEL 13,33,"16,246","16,246"
COORDINADOR NIVEL 15,39,"15,425","15,675"
COORDINADOR NIVEL 16,4,"22,832","22,832"
COORDINADOR NIVEL 19,2,"33,470","33,470"
COORDINADOR NORMATIVO,1,"19,759","19,759"
COORDINADOR O,6,"36,155","36,155"
COORDINADOR OPERATIVO,3,"18,297","18,297"
COORDINADOR OPERATIVO DE COMUNICACIONES,1,"32,286","32,286"
COORDINADOR OPERATIVO DE PROYECCION GUBERNAMENTAL,1,"32,286","32,286"
COORDINADOR OPERATIVO DE SEGURIDAD A FUNCIONARIOS,1,"66,733","66,733"
COORDINADOR OPERATIVO DE TELECOMUNICACIONES,1,"32,286","32,286"
COORDINADOR OPERATIVO DEL CEPAJ,1,"32,286","32,286"
COORDINADOR OPERATIVO DEL ESCUADRON TACTICO AEREO,1,"66,733","66,733"
COORDINADOR ORGANIZACIONAL A,11,"22,453","22,453"
COORDINADOR P,1,"38,852","38,852"
COORDINADOR PREHOSPITALARIO,1,"28,072","28,072"
COORDINADOR Q,3,"42,130","42,130"
COORDINADOR R,4,"50,390","50,390"
COORDINADOR REGIONAL,14,"18,297","18,297"
COORDINADOR REGIONAL A,11,"19,759","19,759"
COORDINADOR REGIONAL NORTE,1,"32,286","32,286"
COORDINADOR REGIONAL ORIENTE,1,"32,286","32,286"
