plaza,cantidad_plazas,remuneracion_min,remuneracion_max
COORDINADOR DE NOMINA DEL EJECUTIVO,1,"17,636","17,636"
COORDINADOR DE NORMATIVIDAD ADMINISTRATIVA,3,"19,239","19,239"
COORDINADOR DE NORMATIVIDAD DE CAPACITACION,2,"21,675","21,675"
COORDINADOR DE NORMATIVIDAD DE SELECCION,1,"21,675","21,675"
COORDINADOR DE NOTIFICACION FISCAL,1,"17,636","17,636"
COORDINADOR DE NOTIFICACION Y EJECUCION,1,"21,675","21,675"
COORDINADOR DE NUTRICION EN SALUD,1,"30,410","30,410"
COORDINADOR DE OBRA,7,"19,239","19,239"
COORDINADOR DE OBRA CIVIL,1,"24,638","24,638"
COORDINADOR DE OPERACION DEL SISTEMA,1,"19,239","19,239"
COORDINADOR DE OPTIMIZACION DE RECURSOS,2,"21,675","21,675"
COORDINADOR DE OPTIMIZACION DE RECURSOS A,1,"19,239","19,239"
COORDINADOR DE OPTIMIZACION DE RECURSOS HUMANOS,1,"19,239","19,239"
COORDINADOR DE ORDENAMIENTO ECOLOGICO,1,"19,239","19,239"
COORDINADOR DE ORIENTACION Y CAPACITACION DEL CECAJ,1,"30,410","30,410"
COORDINADOR DE PAGADURIA,1,"15,905","15,905"
COORDINADOR DE PARTICIPACION CIUDADANA,1,"17,636","17,636"
COORDINADOR DE PLAN MUNICIPAL DEL CECAJ,1,"19,239","19,239"
COORDINADOR DE PLANEACION,2,"17,213","21,675"
COORDINADOR DE PLANEACION DE CEPAJ,1,"30,410","30,410"
COORDINADOR DE PLANEACION DE RECURSOS HUMANOS,1,"21,675","21,675"
COORDINADOR DE PLANEACION E INFORMACION,2,"30,410","30,410"
COORDINADOR DE PLANEACION E INFORMACION A,16,"27,098","27,098"
COORDINADOR DE PLANEACION E INFORMACION B,1,"19,239","19,239"
COORDINADOR DE PLANEACION INSTITUCIONAL,1,"19,239","19,239"
COORDINADOR DE PLANEACION OPERATIVA DE LA POLICIA INVESTIG,1,"50,402","50,402"
COORDINADOR DE PLANEACION SEGUIMIENTO Y EVALUACION,10,"24,638","24,638"
COORDINADOR DE PLANEACION Y EVALUACION EDUCATIVA,1,"65,679","65,679"
COORDINADOR DE POLIGRAFIA,1,"24,638","24,638"
COORDINADOR DE POLITICAS PUBLICAS,1,"17,636","17,636"
COORDINADOR DE PRESTACIONES,1,"21,675","21,675"
COORDINADOR DE PROCESOS FISCALES,1,"33,687","33,687"
COORDINADOR DE PROCURADURIA,1,"30,410","30,410"
COORDINADOR DE PROG DE AHORRO DE ENERGIA ELECTRICA,1,"17,636","17,636"
COORDINADOR DE PROGRAMAS DE INNOVACION SOCIAL,1,"37,358","37,358"
COORDINADOR DE PROGRAMAS EDUCATIVOS,1,"22,186","22,186"
COORDINADOR DE PROGRAMAS SOCIALES,1,"19,239","19,239"
COORDINADOR DE PROGRAMAS Y PROYECTOS DE INNOVACION,2,"30,410","30,410"
COORDINADOR DE PROMOCION COMUNITARIA,8,"16,102","16,102"
COORDINADOR DE PROMOCION ECONOMICA REGIONAL,1,"16,102","16,102"
COORDINADOR DE PROPIEDAD INTELECTUAL,1,"37,358","37,358"
COORDINADOR DE PROTECCION AL AMBIENTE,1,"19,239","19,239"
COORDINADOR DE PROTECCION AL PATRIMONIO VEHICULAR,1,"30,410","30,410"
COORDINADOR DE PROTECCION DE RECURSOS NATURALES,2,"19,239","19,239"
COORDINADOR DE PROTECCION Y GESTORIA JURIDICA,1,"19,239","19,239"
COORDINADOR DE PROYECTO Y EVALUACION,3,"17,636","17,636"
COORDINADOR DE PROYECTOS,6,"19,239","19,239"
COORDINADOR DE PROYECTOS A EN SALUD,1,"30,410","30,410"
COORDINADOR DE PROYECTOS ARQUITECTONICOS,1,"24,638","24,638"
COORDINADOR DE PROYECTOS DE DESARR E INTEGRACION SOCIAL,1,"30,410","30,410"
COORDINADOR DE PROYECTOS DE RECURSOS MATERIALES,1,"19,532","19,532"
COORDINADOR DE PROYECTOS DE SALUD,1,"33,687","33,687"
COORDINADOR DE PROYECTOS ESTRATEGICOS,35,"30,410","30,410"
COORDINADOR DE PROYECTOS ESTRATEGICOS Y POLITICOS,1,"45,490","45,490"
COORDINADOR DE PROYECTOS GUBERNAMENTALES,1,"50,402","50,402"
COORDINADOR DE PROYECTOS JURIDICOS DEL GOBERNADOR,1,"41,315","41,315"
COORDINADOR DE PROYECTOS PARA LA GESTION PUBLICA,8,"21,675","21,675"
COORDINADOR DE PSICOLOGIA,1,"24,638","24,638"
COORDINADOR DE RACIONALIZACION DE ESPACIOS,1,"24,638","24,638"
COORDINADOR DE REC FINANCIEROS Y CONTROL PRESUPUESTAL,1,"24,638","24,638"
COORDINADOR DE REC FINANCIEROS Y MATERIALES DE INNOV,1,"27,098","27,098"
COORDINADOR DE RECAUDACION FORANEA,1,"21,675","21,675"
COORDINADOR DE RECUPERACION DE CHEQUES,1,"14,217","14,217"
COORDINADOR DE RECURSOS FEDERALES AL EMPLEO,1,"21,675","21,675"
COORDINADOR DE RECURSOS FINANCIEROS,3,"17,636","17,636"
COORDINADOR DE RECURSOS FINANCIEROS DE PLANEACION,1,"30,410","30,410"
COORDINADOR DE RECURSOS FINANCIEROS Y MATERIALES,1,"21,675","21,675"
COORDINADOR DE RECURSOS HUMANOS,7,"17,636","17,636"
COORDINADOR DE RECURSOS HUMANOS A,4,"19,239","19,239"
COORDINADOR DE RECURSOS HUMANOS DE INNOVACION,1,"27,098","27,098"
COORDINADOR DE RECURSOS HUMANOS DE LA SEPAF,1,"30,410","30,410"
COORDINADOR DE RECURSOS HUMANOS DE PLANEACION,1,"30,410","30,410"
COORDINADOR DE RECURSOS HUMANOS Y LABORAL,5,"30,410","30,410"
COORDINADOR DE RECURSOS MATERIALES,4,"17,636","17,636"
COORDINADOR DE RECURSOS MATERIALES A,3,"19,239","19,239"
COORDINADOR DE RED DE CENTROS CULTURALES,1,"27,098","27,098"
COORDINADOR DE RED GLOBAL DIGITAL,1,"27,098","27,098"
COORDINADOR DE REDES,1,"19,532","19,532"
COORDINADOR DE REGION,9,"21,675","21,675"
COORDINADOR DE RELACIONES PUBLICAS,3,"24,638","24,638"
COORDINADOR DE RELACIONES PUBLICAS A,2,"30,410","30,410"
COORDINADOR DE SEGUIMIENTO,21,"17,636","17,636"
COORDINADOR DE SEGUIMIENTO DE PROYECTOS,1,"14,133","14,133"
COORDINADOR DE SEGUROS,1,"24,638","24,638"
COORDINADOR DE SEMAFOROS,7,"17,636","17,636"
COORDINADOR DE SERVICIOS ESPECIALIZADOS,1,"14,133","14,133"
COORDINADOR DE SERVICIOS GENERALES,1,"21,675","21,675"
COORDINADOR DE SERVICIOS Y ESTADISTICAS DE PERSONAL,1,"21,675","21,675"
COORDINADOR DE SERVICIOS Y PROGRAMAS TRANSVERSALES,1,"24,638","24,638"
COORDINADOR DE SISTEMAS Y TRANSPARENCIA,1,"30,410","30,410"
COORDINADOR DE SOPORTE TECNICO,1,"19,239","19,239"
COORDINADOR DE SOPORTE Y SERVICIOS,1,"24,638","24,638"
COORDINADOR DE SUBCONSEJOS DEL COESIDA,1,"30,410","30,410"
COORDINADOR DE TEATRO,1,"21,675","21,675"
COORDINADOR DE TECNICOS EN COMPUTACION,10,"7,800","7,800"
COORDINADOR DE TRADUCCION E INFORMACION,1,"15,905","15,905"
COORDINADOR DE TRAMITES,1,"15,905","15,905"
COORDINADOR DE TRANSPARENCIA,3,"17,636","17,636"
COORDINADOR DE TRANSPARENCIA DE GENERAL DE GOBIERNO,1,"19,239","19,239"
COORDINADOR DE UNIDAD DE RIEGO,1,"24,638","24,638"
COORDINADOR DE UNIDAD DE TRANSPARENCIA DE INNOVACION,1,"19,239","19,239"
COORDINADOR DE UNIDAD DE TRANSPARENCIA E INFORMACION,2,"24,638","24,638"
COORDINADOR DE VINCULACION CON DEPEND OPDS Y CAPACT,1,"37,358","37,358"
COORDINADOR DE VINCULACION CON DEPENDENCIAS,1,"17,636","17,636"
COORDINADOR DE VINCULACION EXTERIOR,1,"19,239","19,239"
COORDINADOR DE VINCULACION INTERINSTITUCIONAL Y SOCIAL,1,"24,638","24,638"
COORDINADOR DE VINCULACION MULTISECTORIAL,1,"45,490","45,490"
COORDINADOR DE VINCULACION SOCIAL,1,"30,410","30,410"
COORDINADOR DE VINCULACION Y GESTION,2,"21,675","21,675"
COORDINADOR DE VISITADURIA,2,"22,233","22,233"
COORDINADOR DE VISITADURIA A,1,"24,638","24,638"
COORDINADOR DE VUELOS,1,"19,239","19,239"
COORDINADOR DE ZONA,7,"24,638","24,638"
COORDINADOR DEL DESPACHO DEL CONTRALOR,1,"19,239","19,239"
COORDINADOR DEL ECOSISTEMA DE PYMES Y GOBIERNO,1,"30,410","30,410"
COORDINADOR DEL FOMENTO DE ZONAS ESTRATEGICAS,1,"21,675","21,675"
COORDINADOR DEL PROGRAMA DE TURISMO ESCOLAR,1,"24,533","24,533"
COORDINADOR DEL PROGRAMA DE VALORES,1,"24,533","24,533"
COORDINADOR DEL PROGRAMA MEJORAMIENTO DE VIVIENDA,1,"16,102","16,102"
COORDINADOR DEL VOLUNTARIADO,1,"15,905","15,905"
COORDINADOR DEPARTAMENTAL,5,"10,507","10,507"
COORDINADOR EJECUTIVO,2,"19,239","19,239"
COORDINADOR EJECUTIVO DE AREA NATURAL PROTEJIDA,2,"24,638","24,638"
COORDINADOR EJECUTIVO DE RECURSOS HUMANOS,2,"21,675","21,675"
COORDINADOR EN DELEGACION REGIONAL,1,"19,532","19,532"
COORDINADOR EN MANTENIMIENTO DE AREAS DE SEGURIDAD,1,"22,233","22,233"
COORDINADOR EN MEDIOS Y REDES SOCIALES DE INNOVACION,1,"19,239","19,239"
COORDINADOR EN NORMATIVIDAD Y PROCESOS LEGISLATIVOS,1,"27,098","27,098"
COORDINADOR EN TECNICAS DE COMUNICACION,2,"14,133","14,133"
COORDINADOR ESPECIALIZADO,64,"17,636","30,883"
COORDINADOR ESPECIALIZADO A,68,"24,638","24,638"
COORDINADOR ESPECIALIZADO B,37,"21,675","21,675"
COORDINADOR ESPECIALIZADO DE INFORMACION Y ESTADISTICAS,3,"27,098","27,098"
COORDINADOR ESPECIALIZADO DE LA PROEPA,1,"24,638","24,638"
COORDINADOR ESPECIALIZADO DE OBRAS PUBLICAS,1,"24,638","24,638"
COORDINADOR ESPECIALIZADO DE PLANEACION Y URBANIZACION,1,"24,638","24,638"
COORDINADOR ESPECIALIZADO DEL CECAJ,1,"19,239","19,239"
COORDINADOR ESPECIALIZADO EN INFORMATICA,14,"30,410","30,410"
COORDINADOR ESPECIALIZADO EN MEDIO AMBIENTE,1,"27,098","27,098"
COORDINADOR ESPECIALIZADO ISO 9000,1,"21,675","21,675"
COORDINADOR ESTATAL DE REDES Y TELECOMUNICACIONES,3,"24,638","24,638"
COORDINADOR FINANCIERO,3,"17,636","17,636"
COORDINADOR FINANCIERO CONTABLE,5,"21,675","21,675"
COORDINADOR GENERAL,1,"73,411","73,411"
COORDINADOR GENERAL ADMINISTRATIVO,1,"62,664","62,664"
COORDINADOR GENERAL DE ADMON Y PROFESIONALIZACION,1,"78,235","78,235"
COORDINADOR GENERAL DE ANALISIS JURIDICOS,1,"62,664","62,664"
COORDINADOR GENERAL DE ANALISIS Y PROSPECTIVA SOCIAL,1,"62,664","62,664"
COORDINADOR GENERAL DE ASUNTOS JURIDICOS,1,"62,664","62,664"
COORDINADOR GENERAL DE ASUNTOS SOCIALES,1,"62,664","62,664"
COORDINADOR GENERAL DE ATENCION CIUDADANA,1,"62,664","62,664"
COORDINADOR GENERAL DE COMPETITIVIDAD EMPRESARIAL,1,"69,283","69,283"
COORDINADOR GENERAL DE DEUDA PUBLICA Y FINANCIAMIEN A MPIOS,1,"45,490","45,490"
COORDINADOR GENERAL DE DIFUSION E IMAGEN VIAL,1,"62,664","62,664"
COORDINADOR GENERAL DE ENLACE INSTITUCIONAL,1,"62,664","62,664"
COORDINADOR GENERAL DE GESTION GUBERNAMENTAL,1,"70,017","70,017"
COORDINADOR GENERAL DE INNOVACION CIENCIA Y TECNOLOGIA,1,"70,017","70,017"
COORDINADOR GENERAL DE LO CONSULTIVO,1,"56,094","56,094"
COORDINADOR GENERAL DE PROYECTOS,10,"45,490","45,490"
COORDINADOR GENERAL DE PROYECTOS A,4,"70,017","70,017"
COORDINADOR GENERAL DE PROYECTOS B,29,"41,315","41,315"
COORDINADOR GENERAL DE PROYECTOS DE FISCALIA,1,"62,664","62,664"
COORDINADOR GENERAL DE PROYECTOS DE FISCALIA A,1,"78,235","78,235"
COORDINADOR GENERAL DE PROYECTOS ESPECIALES,3,"50,402","50,402"
COORDINADOR GENERAL DE PROYECTOS ESTRATEGICOS,14,"56,094","56,094"
COORDINADOR GENERAL DE REGIONES,1,"56,094","56,094"
COORDINADOR GENERAL DE VINCULACION EN EL EXTRANJERO,1,"62,664","62,664"
COORDINADOR GENERAL DEL CENTRO DE JUSTICIA,1,"56,094","56,094"
COORDINADOR GENERAL DEL FONDO DE APOYO A MUNICIPIOS,1,"70,017","70,017"
COORDINADOR GRAL DE PROC FISCALES FED,1,"56,094","56,094"
COORDINADOR GRAL DE TRANSPARENCIA Y INFORM PUBLICA,1,"70,017","70,017"
COORDINADOR INTERINSTITUCIONAL Y MUNICIPAL DEL CECAJ,1,"30,410","30,410"
COORDINADOR INTERNO,4,"17,636","17,636"
COORDINADOR JURIDICO,23,"21,675","22,186"
COORDINADOR JURIDICO A,12,"19,239","19,239"
COORDINADOR JURIDICO B,41,"17,636","17,636"
COORDINADOR JURIDICO DE INGRESOS,1,"30,410","30,410"
COORDINADOR JURIDICO DE INNOVACION,1,"30,410","30,410"
COORDINADOR JURIDICO DE LA PROCURADURIA SOCIAL,1,"30,410","30,410"
COORDINADOR JURIDICO DE PERSONAL,1,"37,358","37,358"
COORDINADOR JURIDICO DEL CECAJ,1,"16,102","16,102"
COORDINADOR JURIDICO Y DE INTEGRACION DE RESULTADOS,1,"24,638","24,638"
COORDINADOR MEDICO Y TOXICOLOGICO,1,"24,638","24,638"
COORDINADOR NIVEL 15,20,"15,675","15,675"
COORDINADOR NORMATIVO,2,"19,239","19,239"
COORDINADOR OPERATIVO,3,"17,636","17,636"
COORDINADOR OPERATIVO DE COMUNICACIONES,1,"30,410","30,410"
COORDINADOR OPERATIVO DE PROYECCION GUBERNAMENTAL,1,"37,358","37,358"
COORDINADOR OPERATIVO DE SEGURIDAD A FUNCIONARIOS,2,"70,017","70,017"
COORDINADOR OPERATIVO DE TELECOMUNICACIONES,1,"30,410","30,410"
COORDINADOR OPERATIVO DEL CEPAJ,1,"30,410","30,410"
COORDINADOR OPERATIVO DEL ESCUADRON TACTICO AEREO,1,"70,017","70,017"
COORDINADOR ORGANIZACIONAL A,11,"21,675","21,675"
COORDINADOR REGIONAL,34,"17,636","17,636"
COORDINADOR REGIONAL A,13,"19,239","19,239"
COORDINADOR TECNICO,45,"17,636","22,186"
COORDINADOR TECNICO DE LA UNIDAD ADMVA DE APOYO,1,"41,315","41,315"
CORRECTOR TIPOGRAFICO,1,"13,992","13,992"
DEFENSOR DE EJECUCION DE SENTENCIA,34,"21,675","21,675"
DEFENSOR DE OFICIO,2,"12,078","12,078"
DELEGADO GENERAL REGIONAL,12,"56,094","56,094"
DELEGADO REG DE LA SEJ EN ALTOS SUR TEPATITLAN,1,"38,208","38,208"
DELEGADO REGIONAL,3,"17,636","17,636"
DELEGADO REGIONAL DE LA SECRETARIA DE EDUCACION NORTE,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SECRETARÍA DE EDUCACIÓN VALLES (AMEC,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SEJ COSTA SUR AUTLÁN DE NAVARRO,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SEJ SIERRA OCCIDENTAL MASCOTA,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SEJ SUR ZAPOTLAN EL GRANDE,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACION ALTOS NORTE LAGOS,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACION CENTRO 1 GUADALAJ,1,"42,280","42,280"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACION CENTRO 2 ZAPOPAN,1,"42,280","42,280"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACION CIENEGA OCOTLï¿½N,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACION COSTA NORTE PUERT,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACION SIERRA DE AMULA E,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACION SURESTE TAMAZULA,1,"38,208","38,208"
DELEGADO REGIONAL SRIA. DE EDUCACION CENTRO 3 TLAQUEPAQUE,1,"42,280","42,280"
DIBUJANTE,6,"7,412","12,989"
DICTAMINADOR,2,"15,117","15,117"
DIR DE AREA DE LO CIVIL MERCANTIL Y SEGUNDA INSTANCIA,1,"30,410","30,410"
DIR DE AREA DE REPRESENTACION SOCIAL EN MATERIA FAMILIAR,1,"30,410","30,410"
DIR DE AREA DE VISITAD AUDITORIA AL DESEMP Y RESPONS ADMVAS,1,"33,687","33,687"
DIR DE AREA DEL CTRO DE INNOV P/EL ACELERAM Y DESARR ECON,1,"45,490","45,490"
DIR DE LO CONTEN CONSUL P/DET NO EJER ACC PENAL RESER Y ARCH,1,"33,687","33,687"
DIR DE U/INV DELIT VS TRAT DE PERS MUJER MEN Y DELIT SEX,1,"56,094","56,094"
DIR GENERAL DE ACREDITACIÓN INCORPORACIÓN Y REVALIDACIÓN,1,"47,106","47,106"
DIR GENERAL DE UNIVERSIDADES DE LA UPN E INST DE POSGRADO,1,"47,106","47,106"
DIR GRAL CTRO DE ATN Y PROT A OFEND VICT Y TEST DE DELIT,1,"50,402","50,402"
DIR. DE ARTES GRAF.,1,"6,950","6,950"
DIR. DE PRIM. NOCT,2,"6,834","9,459"
DIR. DE PRIMARIA NO. T.,1,"8,850","8,850"
DIR. GRAL. DE FORMACION CONTINUA PARA PROF. DE LA EDUCACION,1,"47,106","47,106"
DIRECCION DE PROGRAMAS DE ACOMPAÑAMIENTO EN EL AULA,1,"34,487","34,487"
DIRECCION DE PROYECTOS EDUCATIVOS DE EDUCACION PREESCOLAR,1,"34,487","34,487"
DIRECCION DE SECUNDARIAS GENERALES,1,"42,280","42,280"
DIRECCION DE SECUNDARIAS TECNICAS,1,"42,280","42,280"
DIRECCION DE TELESECUNDARIAS,1,"42,280","42,280"
DIRECCION GENERAL DE PROGRAMAS ESTRATEGICOS,1,"47,106","47,106"
DIRECTOR,2,"27,627","27,627"
DIRECTOR AREA DE APOYO FINANCIERO MUNICIPAL,1,"45,490","45,490"
DIRECTOR BILINGUE DE EDUCACION PREESCOLAR INDIGENA,4,"9,572","22,926"
DIRECTOR BILINGUE DE EDUCACION PRIMARIA INDIGENA,18,"10,272","24,709"
DIRECTOR DE A DE CONST Z CTRO SUR SUREST CIENEGA ALTO S Y N,1,"30,410","30,410"
DIRECTOR DE ACTIVACION FISICA,1,"27,627","27,627"
DIRECTOR DE ADMINISTRACIÓN DE PERSONAL,1,"38,208","38,208"
DIRECTOR DE ADMINISTRATIVO LABORAL E INFRACCIONES ADMINISTRA,1,"34,487","34,487"
DIRECTOR DE ADQUISICIONES,1,"34,487","34,487"
DIRECTOR DE AMPARO AGRAV 2DA INST Y PROC DE EXTINC DE DOMIN,1,"33,687","33,687"
DIRECTOR DE AREA,11,"24,533","30,883"
DIRECTOR DE AREA ADMIVA DE SRIA DEL TRAB Y PREV SOC,1,"37,358","37,358"
DIRECTOR DE AREA ADMVA DE UNIDADES ADVAS DE APOYO,1,"62,664","62,664"
DIRECTOR DE AREA AGRICOLA,1,"37,358","37,358"
DIRECTOR DE AREA CONTROL PRESUPUESTAL,1,"30,410","30,410"
DIRECTOR DE AREA DE ACUACULTURA DE AGUAS INTERIORES,1,"30,410","30,410"
DIRECTOR DE AREA DE ACUACULTURA DE PESCA DEL LITORAL,1,"30,410","30,410"
DIRECTOR DE AREA DE ADMINISTRACION TRIBUTARIA FORANEA,1,"45,490","45,490"
DIRECTOR DE AREA DE ADMON TRIBUTARIA METROPOLITANA,1,"45,490","45,490"
DIRECTOR DE AREA DE ADMON Y VALIDACION DE PROYECTOS,1,"37,358","37,358"
DIRECTOR DE AREA DE ADQUISICIONES,1,"41,315","41,315"
DIRECTOR DE AREA DE ALMACENES,1,"45,490","45,490"
DIRECTOR DE AREA DE ANALISIS JURIDICO,1,"41,315","41,315"
DIRECTOR DE AREA DE ANALISIS Y ESTADISTICAS,1,"33,687","33,687"
DIRECTOR DE AREA DE ANALISIS Y PROYECTOS JURIDICOS,1,"33,687","33,687"
DIRECTOR DE AREA DE ANALISIS Y SEGUIMIENTO DE PROYECTOS,1,"41,315","41,315"
DIRECTOR DE AREA DE APLICACION Y SOPORTE TECNOLOGICO,1,"45,490","45,490"
DIRECTOR DE AREA DE APOY INST COMB CORRU Y MONIT DE CTROL IN,1,"37,358","37,358"
DIRECTOR DE AREA DE APOYO A OFICIALIAS,1,"30,410","30,410"
DIRECTOR DE AREA DE ARMONIZACION CONTABLE,1,"41,315","41,315"
DIRECTOR DE AREA DE ARQUITECTURA Y URBANISMO,1,"37,358","37,358"
DIRECTOR DE AREA DE ASESORIA EN SISTEMAS E INFORMATICA,1,"37,358","37,358"
DIRECTOR DE AREA DE ASESORIA Y GESTION DE TRAMITES,1,"30,410","30,410"
DIRECTOR DE AREA DE ASISTENCIA SOCIAL Y PSICOLOGIA,1,"37,358","37,358"
DIRECTOR DE AREA DE ASUNTOS INTERNACIONALES,1,"50,402","50,402"
DIRECTOR DE AREA DE ASUNTOS INTERNOS,1,"33,687","33,687"
DIRECTOR DE AREA DE ATENCION A MUNICIPIOS,2,"33,687","41,315"
DIRECTOR DE AREA DE ATENCION A PROGRAMAS P/EL ADULTO MAYOR,1,"33,687","33,687"
DIRECTOR DE AREA DE ATENCION A SECTORES PRODUCTIVOS,1,"37,358","37,358"
DIRECTOR DE AREA DE ATENCION CIUDADANA Y CONCILIACION,1,"30,410","30,410"
DIRECTOR DE AREA DE ATENCION SOCIAL,1,"45,490","45,490"
DIRECTOR DE AREA DE ATN A CARCELES Y ORG DE ASISTENCIA,1,"30,410","30,410"
DIRECTOR DE AREA DE ATN A ENTES FISCALIZADORES,1,"41,315","41,315"
DIRECTOR DE AREA DE ATN DE ADOLEC EN CONFLICTO CON LA LEY,1,"56,094","56,094"
DIRECTOR DE AREA DE AUDIENCIA PUBLICA,1,"33,687","33,687"
DIRECTOR DE AREA DE AUDITORIA,1,"41,315","41,315"
DIRECTOR DE AREA DE AUDITORIA DE DEPEND DEL EJECUTIVO,2,"37,358","37,358"
DIRECTOR DE AREA DE AUDITORIA DE ORGANISMOS PARAESTAT,2,"37,358","37,358"
DIRECTOR DE AREA DE AUDITORIA FISCAL,1,"45,490","45,490"
DIRECTOR DE AREA DE BANCO DE PROYECTOS,1,"41,315","41,315"
DIRECTOR DE AREA DE CAJA GENERAL,1,"45,490","45,490"
DIRECTOR DE AREA DE CAPACITACION LABORAL,1,"33,687","33,687"
DIRECTOR DE AREA DE CAPACITACION Y COMPETITIVIDAD,1,"33,687","33,687"
DIRECTOR DE AREA DE CARRERAS,1,"33,687","33,687"
DIRECTOR DE AREA DE CATASTRO DEL ESTADO,1,"41,315","41,315"
DIRECTOR DE AREA DE CERTIFICACIONES,1,"30,410","30,410"
DIRECTOR DE AREA DE CERTIFICADOS DE REGISTROS DE PROPIEDAD,1,"30,410","30,410"
DIRECTOR DE AREA DE COMERCIALIZACION,1,"30,410","30,410"
DIRECTOR DE AREA DE COMUNIC DIFUSION Y RELAC PUBLICAS,1,"30,410","30,410"
DIRECTOR DE AREA DE COMUNICACION SOCIAL,1,"41,315","41,315"
DIRECTOR DE AREA DE CONSERV Y RACIONALIZACION DE ESPACIOS,1,"41,315","41,315"
DIRECTOR DE AREA DE CONSERVACION Y MAQUINARIA,1,"33,687","33,687"
DIRECTOR DE AREA DE CONST Z NTE V SIERRA OCCTAL COSTA N Y S,1,"30,410","30,410"
DIRECTOR DE AREA DE CONSTRUCC DE CARRETERAS E INFRAESTRUC,1,"33,687","33,687"
DIRECTOR DE AREA DE CONSTRUCCION RURAL Y SUPERVISION,1,"37,358","37,358"
DIRECTOR DE AREA DE CONTABILIDAD,1,"45,490","45,490"
DIRECTOR DE AREA DE CONTRALORIA SOCIAL,1,"37,358","37,358"
DIRECTOR DE AREA DE CONTROL DE PERSONAL,1,"45,490","45,490"
DIRECTOR DE AREA DE CONTROL DE PROCESOS Y AUDIENCIA,2,"56,094","56,094"
DIRECTOR DE AREA DE CONTROL DE TRAFICO,1,"37,358","37,358"
DIRECTOR DE AREA DE CONTROL PATRIMONIAL,1,"41,315","41,315"
DIRECTOR DE AREA DE CONVENIOS Y CONTRATOS GUBERNAM,1,"41,315","41,315"
DIRECTOR DE AREA DE CONVENIOS Y REGULARIZACION,1,"33,687","33,687"
DIRECTOR DE AREA DE COOPERACION INTERNACIONAL,1,"33,687","33,687"
DIRECTOR DE AREA DE CRIMINALISTICA,1,"33,687","33,687"
DIRECTOR DE AREA DE CULTURAS POPULARES,1,"30,410","30,410"
DIRECTOR DE AREA DE CUMPLIMIENTO DE MANDTOS JUDIC DE FC,1,"33,687","33,687"
DIRECTOR DE AREA DE DATOS ABIERTOS,1,"41,315","41,315"
DIRECTOR DE AREA DE DELEGACIONES,1,"30,410","30,410"
DIRECTOR DE AREA DE DESARR DE PLATAFORMAS TECNOL Y DIVULG,1,"45,490","45,490"
DIRECTOR DE AREA DE DESARROLLO COMERCIAL,1,"30,410","30,410"
DIRECTOR DE AREA DE DESARROLLO DE CAPACIDADES RURALES,1,"30,410","30,410"
DIRECTOR DE AREA DE DESARROLLO DE PROVEEDORES,1,"41,315","41,315"
DIRECTOR DE AREA DE DESARROLLO DE REGIONES PRIORITARIAS,1,"30,410","30,410"
DIRECTOR DE AREA DE DESARROLLO EN REGIONES PRIORITARIAS,1,"33,687","33,687"
DIRECTOR DE AREA DE DESARROLLO INSTITUCIONAL,1,"30,410","30,410"
DIRECTOR DE AREA DE DESARROLLO MUNICIPAL,1,"30,410","30,410"
DIRECTOR DE AREA DE DESARROLLO ORGANIZACIONAL,1,"41,315","41,315"
DIRECTOR DE AREA DE DESARROLLO REGIONAL,1,"33,687","33,687"
DIRECTOR DE AREA DE DESARROLLO Y FORTALECIMIENTO SOCIAL,1,"37,358","37,358"
DIRECTOR DE AREA DE DEUDA PUB Y CTRL OBLIG FINANCIERAS INST,1,"41,315","41,315"
DIRECTOR DE AREA DE DIFUSION SOCIAL,1,"45,490","45,490"
DIRECTOR DE AREA DE ECOSISTEMAS Y BIODIVERSIDAD,1,"30,410","30,410"
DIRECTOR DE AREA DE EDUCACION SUPERIOR,1,"45,490","45,490"
DIRECTOR DE AREA DE ENLACE CIUDADANO Y AUTORIDADES,1,"33,687","33,687"
DIRECTOR DE AREA DE ENLACE CON FISCALIAS,1,"33,687","33,687"
DIRECTOR DE AREA DE ENLACE DE PROGR GUBERN P/INFRAESTR,1,"33,687","33,687"
DIRECTOR DE AREA DE ENLACE JURIDICO,1,"33,687","33,687"
DIRECTOR DE AREA DE ENTIDADES PARAESTATALES,1,"41,315","41,315"
DIRECTOR DE AREA DE ESTRATEGIAS EDUCATIVAS,1,"33,687","33,687"
DIRECTOR DE AREA DE ESTUDIOS LEGISLATIVOS,1,"41,315","41,315"
DIRECTOR DE AREA DE ESTUDIOS Y PROYECTOS NORMATIVOS,1,"30,410","30,410"
DIRECTOR DE AREA DE ESTUDIOS Y PROYECTOS VIALES,1,"37,358","37,358"
