Gobierno del Estado de Jalisco,,,,
Presupuesto de egresos para el ejercicio fiscal 2019,,,,
Unidad Presupuestal - Unidad Responsable y Programa Presupuestario,,,,
UP,UR,PP,Programa Presupuestario,Importe
Total Unidad Presupuestal 15,,,,"1,609,284,725.51"
FISCALÍA ESTATAL,,,,
,FISCALÍA ESTATAL,,,
16,000,502,Fortalecimiento Institucional de la Fiscalía Estatal,"417,864,305.73"
16,000,508,Fortalecimiento del Sistema Legal Aplicable a la Fiscalía Estatal,"37,035,359.01"
16,000,511,"Atención a denuncias, quejas, evaluaciones de eficacia y calidad en actuar de servidores y elementos.","34,137,472.29"
16,000,520,Representación Jurídica en la Seguridad Pública y la Procuración de Justicia,"502,322,194.07"
16,000,545,Atención Integral a Víctimas del Delito,"24,947,157.97"
16,000,550,"Estrategias de Inteligencia para la investigación, la Prevención, Persecución y Sanción de los Delitos","226,930,943.44"
16,000,551,Justicia Restaurativa en favor de la Víctima,"4,025,239.00"
16,000,558,"Fortalecimiento para la Procuración de Justicia, Humanitaria, Pronta, Expedita con Estricto Apego a la Ley","208,171,473.94"
16,000,559,Coordinación y Gestión del Despacho del Fiscal Regional,"15,563,492.10"
16,000,560,Procuración de Justicia Pronta y Expedita,"182,519,157.46"
16,000,565,Carpetas de Investigación que se Judicializan en beneficio de la Sociedad,"186,599,313.08"
16,000,571,"Atención, Captación y Medidas de Protección a Víctimas del Delito","251,753,786.38"
16,000,576,Control de procesos del Sistema Tradicional,"2,895,577.96"
16,000,588,Investigar y Perseguir los Delitos Electorales de Orden Estatal,"7,997,025.00"
Total Unidad Responsable 000,,,,"2,102,762,497.43"
,CENTRO DE JUSTICIA PARA LAS MUJERES,,,
16,162,497,"Atención integral especializada a mujeres víctimas de violencia familiar, sexual o por razones de género, así como a sus hijas e hijos","42,492,137.18"
Total Unidad Responsable 162,,,,"42,492,137.18"
,FISCALÍA ESPECIALIZADA EN COMBATE A LA CORRUPCIÓN,,,
16,165,925,Prevención e Investigación y Combate a la Corrupción,"63,584,465.80"
Total Unidad Responsable 165,,,,"63,584,465.80"
,FISCALÍA ESPECIALIZADA EN BÚSQUEDA DE PERSONAS DESAPERECIDAS,,,
16,800,922,Búsqueda y Localización de Personas Desaparecidas,"40,000,000.00"
Total Unidad Responsable 800,,,,"40,000,000.00"
Total Unidad Presupuestal 16,,,,"2,248,839,100.41"
PROCURADURÍA SOCIAL,,,,
,PROCURADURÍA SOCIAL,,,
17,000,591,Apoyo jurídico gratuito y de calidad para la tranquilidad jurídica de los jaliscienses.,"15,903,632.89"
17,000,592,Defensa humana y eficiente a todos los Jaliscienses,"38,868,988.23"
17,000,593,Gobierno efectivo y eficiente,"65,124,137.14"
17,000,594,Observancia de la legalidad y el respeto de los derechos fundamentales de la ciudadanía.,"9,954,034.98"
17,000,595,Vigilancia y cumplimiento de los derechos patrimoniales y personales de los Jaliscienses.,"258,858.76"
Total Unidad Responsable 000,,,,"130,109,652.00"
Total Unidad Presupuestal 17,,,,"130,109,652.00"
CONTRALORÍA DEL ESTADO,,,,
,CONTRALORÍA DEL ESTADO,,,
18,000,597,Fortalecimiento Administrativo y de Recursos Humanos de la Contraloría,"24,754,868.66"
18,000,598,Realización de Auditorias a los Organismos Públicos Descentralizados y Fideicomisos,"13,807,940.00"
18,000,599,Despacho del Contralor,"7,212,854.00"
18,000,600,"Realización de Auditorias a Dependencias, OPD´s Sector Salud y Entidades Desconcentradas del Ejecutivo","18,102,197.00"
18,000,601,Verificación de Obra Pública del Estado,"21,826,435.00"
18,000,602,Programa para el fortalecimiento del Sistema Estatal Anticorrupción.,"12,977,440.00"
18,000,603,"Control Preventivo, Transparencia y Fiscalización de los Recursos Públicos","8,923,081.00"
18,000,923,Prevención y Sanción de las Prácticas de Corrupción,"6,279,089.00"
Total Unidad Responsable 000,,,,"113,883,904.66"
Total Unidad Presupuestal 18,,,,"113,883,904.66"
UNIDADES ADMINISTRATIVAS DE APOYO,,,,
,UNIDADES ADMINISTRATIVAS DE APOYO,,,
19,000,908,"Programa de Apoyo Logístico, Técnico, de Evaluación y Difusión de las actividades del C. Gobernador y la Proyección del Estado de Jalisco.","224,969,215.47"
19,000,911,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"169,173,488.99"
Total Unidad Responsable 000,,,,"394,142,704.46"
Total Unidad Presupuestal 19,,,,"394,142,704.46"
TRIBUNAL DE ARBITRAJE Y ESCALAFÓN,,,,
,TRIBUNAL DE ARBITRAJE Y ESCALAFÓN,,,
20,000,615,Administración Transparente y eficiente del Tribunal de Arbitraje y Escalafón del Estado de Jalisco.,"19,511,696.04"
20,000,642,Impartición de Justicia Laboral para Servidores Públicos y Entidades Públicas del Estado y Municipios,"43,008,783.74"
Total Unidad Responsable 000,,,,"62,520,479.78"
Total Unidad Presupuestal 20,,,,"62,520,479.78"
PODER LEGISLATIVO DEL ESTADO DE JALISCO,,,,
,PODER LEGISLATIVO DEL ESTADO DE JALISCO,,,
24,000,690,Poder Legislativo,"699,900,000.00"
Total Unidad Responsable 000,,,,"699,900,000.00"
,AUDITORIA SUPERIOR DEL ESTADO,,,
24,146,691,Auditoría Superior del Estado,"297,160,129.00"
Total Unidad Responsable 146,,,,"297,160,129.00"
Total Unidad Presupuestal 24,,,,"997,060,129.00"
PODER JUDICIAL,,,,
,SUPREMO TRIBUNAL DE JUSTICIA,,,
25,142,664,Proyectos prioritarios del Supremo Tribunal de Justicia,"459,135,760.00"
Total Unidad Responsable 142,,,,"459,135,760.00"
,INSTITUTO DE JUSTICIA ALTERNATIVA,,,
25,143,619,Instituto de Justicia Alternativa,"90,421,930.00"
Total Unidad Responsable 143,,,,"90,421,930.00"
,CONSEJO DE LA JUDICATURA,,,
25,145,621,Consejo de la Judicatura,"1,158,959,733.00"
Total Unidad Responsable 145,,,,"1,158,959,733.00"
Total Unidad Presupuestal 25,,,,"1,708,517,423.00"
COMISIÓN ESTATAL DE DERECHOS HUMANOS DE JALISCO,,,,
,COMISIÓN ESTATAL DE DERECHOS HUMANOS DE JALISCO,,,
26,000,624,Gobernanza de los Derechos Humanos,"44,801,246.90"
26,000,625,Cultura de los Derechos Humanos,"19,932,745.32"
26,000,626,Defensa de los Derechos Humanos,"83,829,860.30"
Total Unidad Responsable 000,,,,"148,563,852.52"
Total Unidad Presupuestal 26,,,,"148,563,852.52"
INSTITUTO ELECTORAL Y DE PARTICIPACIÓN CIUDADANA,,,,
,INSTITUTO ELECTORAL Y DE PARTICIPACIÓN CIUDADANA,,,
27,000,632,Administración de Recursos IEPC,"68,863,418.90"
27,000,633,Prerrogativas a Partidos Políticos IEPC,"99,646,372.57"
27,000,803,Mecanismos de Participación Social,"2,167,500.00"
Total Unidad Responsable 000,,,,"170,677,291.47"
Total Unidad Presupuestal 27,,,,"170,677,291.47"
"INSTITUTO DE TRANSPARENCIA, INFORMACIÓN PÚBLICA Y PROTECCIÓN DE DATOS PERSONALES DEL ESTADO DE JALISCO",,,,
,"INSTITUTO DE TRANSPARENCIA, INFORMACIÓN PÚBLICA Y PROTECCIÓN DE DATOS PERSONALES DEL ESTADO DE JALISCO",,,
28,000,627,"Promoción de la cultura de la transparencia, rendición de cuentas y participación ciudadana.","8,499,848.41"
28,000,628,Apoyo a la función pública y desempeño organizacional ,"3,380,140.90"
28,000,629,Garantizar el derecho de acceso a la información pública y la protección de datos personales,"24,240,962.63"
28,000,640,"Planeación, proyectos y gestión administrativa","20,152,977.22"
Total Unidad Responsable 000,,,,"56,273,929.16"
Total Unidad Presupuestal 28,,,,"56,273,929.16"
UNIVERSIDAD DE GUADALAJARA,,,,
,UNIVERSIDAD DE GUADALAJARA,,,
29,000,689,Universidad de Guadalajara,"12,043,081,501.00"
Total Unidad Responsable 000,,,,"12,043,081,501.00"
Total Unidad Presupuestal 29,,,,"12,043,081,501.00"
TRIBUNAL ELECTORAL DEL ESTADO DE JALISCO,,,,
,TRIBUNAL ELECTORAL DEL ESTADO DE JALISCO,,,
31,000,617,Impartición de justicia electoral a la ciudadanía e investigación y capacitación en la materia,"37,330,043.80"
Total Unidad Responsable 000,,,,"37,330,043.80"
Total Unidad Presupuestal 31,,,,"37,330,043.80"
TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE JALISCO,,,,
,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE JALISCO,,,
32,000,620,Tribunal de Justicia Administrativa del Estado de Jalisco,"123,995,727.40"
Total Unidad Responsable 000,,,,"123,995,727.40"
Total Unidad Presupuestal 32,,,,"123,995,727.40"
SECRETARÍA EJECUTIVA DEL SISTEMA ESTATAL ANTI-CORRUPCIÓN,,,,
,SECRETARÍA EJECUTIVA DEL SISTEMA ESTATAL ANTI-CORRUPCIÓN,,,
33,000,926,Programa para el fortalecimiento del Sistema Estatal Anticorrupción.,"50,178,924.00"
Total Unidad Responsable 000,,,,"50,178,924.00"
Total Unidad Presupuestal 33,,,,"50,178,924.00"
SECRETARÍA DE ADMINISTRACIÓN,,,,
,SECRETARÍA DE ADMINISTRACIÓN,,,
35,000,062,Actos jurídicos apegados a la legalidad,"169,008,680.00"
35,000,063,"Programa de Ejecución de la Política de Administración, Manejo de los Recursos Materiales, Prestación de Servicios Generales y Desarrollo de los Recursos Humanos del Poder Ejecutivo","87,101,357.76"
35,000,070,Abastecimientos de Bienes y Servicios a las Dependencias del Ejecutivo y Organismos,"319,090,720.01"
35,000,091,Programa de Fortalecimiento de la Administración de Servicios Generales y Bienes Patrimoniales del Poder Ejecutivo,"43,921,232.60"
35,000,092,Conservación y Racionalización de espacios a Inmuebles e instalaciones fijas de los Edificios de Gobierno del Estado del Poder Ejecutivo,"44,408,037.87"
35,000,097,Profesionalización de los Servidores Públicos del Poder Ejecutivo y Programa de Ahorro de Recursos,"10,096,465.00"
35,000,098,Armonización de la política salarial con las nuevas normativas,"14,159,710.00"
35,000,099,Administración y desarrollo de personal,"6,661,699.00"
35,000,929,Innovación y Tecnologías de Información y Telecomunicaciones,"209,289,616.24"
35,000,930,Vinculación con Organismos Públicos Descentralizados del Poder Ejecutivo,"30,621,143.04"
35,000,944,Atención de asuntos jurídicos fiscales,"4,222,449.00"
Total Unidad Responsable 000,,,,"938,581,110.52"
Total Unidad Presupuestal 35,,,,"938,581,110.52"
SECRETARÍA DE PLANEACIÓN Y PARTICIPACIÓN CIUDADANA,,,,
,SECRETARÍA DE PLANEACIÓN Y PARTICIPACIÓN CIUDADANA,,,
36,000,072,"Planeación, monitoreo y evaluación de políticas públicas","605,498,138.39"
36,000,932,Coinversión Social,"1,113,642.83"
Total Unidad Responsable 000,,,,"606,611,781.22"
Total Unidad Presupuestal 36,,,,"606,611,781.22"
SECRETARÍA DE SEGURIDAD,,,,
,SECRETARÍA DE SEGURIDAD,,,
37,000,046,Centro de prevención social,"8,615,190.58"
37,000,495,Productos Inteligentes Terminados,"104,441,382.79"
37,000,501,Difusión de Logros y Resultados de la Secretaría de Seguridad,"491,967,967.81"
37,000,509,Información Estratégica para la Toma de Decisiones de la Secretaría de Seguridad,"56,819,332.97"
37,000,530,"Mecanismos y Coordinación para la Seguridad, el Orden y la Paz Pública en el Estado","1,663,907,561.81"
37,000,531,Reinserción de los Adultos y Adolescentes a la Sociedad,"419,682,826.57"
37,000,532,Centros Penitenciarios Mayores,"391,687,394.13"
37,000,534,Centros con Capacidad Media y CEINJURES,"374,857,004.28"
37,000,535,Atención Integral Para Adolescentes y Adultos Jóvenes en Conflicto con la Ley,"175,817,888.18"
37,000,536,Atención Integral a Preliberados y Liberados,"36,717,671.90"
37,000,537,Custodia y Vigilancia Penitenciaria,"114,029,387.49"
37,000,736,Gestión de los recursos federales del Secretariado Ejecutivo del Consejo Estatal de Seguridad Pública,"98,578,867.96"
37,000,746,Centro Estatal de evaluación y Control de Confianza,"18,779,133.00"
Total Unidad Responsable 000,,,,"3,955,901,609.47"
,INDUSTRIA JALISCIENSE DE REHABILITACIÓN SOCIAL,,,
37,078,579,Capacitación y talleres en Centros de Readaptación Social del Estado de Jalisco,"6,432,660.00"
Total Unidad Responsable 078,,,,"6,432,660.00"
,FIDEICOMISO PARA MANDO ÚNICO,,,
37,086,735,Apoyo en las tareas y actividades de seguridad pública en el Estado de Jalisco,"380,766,349.00"
Total Unidad Responsable 086,,,,"380,766,349.00"
,"CENTRO DE COORDINACIÓN, COMANDO, CONTROL, COMUNICACIONES Y COMPUTO DEL ESTADO DE JALISCO (C5)",,,
37,605,927,"C5 Inteligencia, Videovigilancia y Participación Ciudadana","270,052,551.56"
Total Unidad Responsable 605,,,,"270,052,551.56"
Total Unidad Presupuestal 37,,,,"4,613,153,170.03"
SECRETARÍA DE GESTIÓN INTEGRAL DEL AGUA,,,,
,SECRETARÍA DE GESTIÓN INTEGRAL DEL AGUA,,,
38,000,945,Gestión integral de los recursos hídricos,"6,904,416.13"
Total Unidad Responsable 000,,,,"6,904,416.13"
,COMISIÓN ESTATAL DEL AGUA DE JALISCO (CEA),,,
38,023,203,Gestión integral de los recursos hídricos,"1,603,847,510.00"
Total Unidad Responsable 023,,,,"1,603,847,510.00"
Total Unidad Presupuestal 38,,,,"1,610,751,926.13"
SECRETARÍA DE IGUALDAD SUSTANTIVA,,,,
,SECRETARÍA DE IGUALDAD SUSTANTIVA,,,
39,000,931,Bienestar económico y social para los adultos mayores,"31,054,891.53"
39,000,940,Inclusión de Personas con Discapacidad,"196,248.90"
39,000,941,Apoyo al ingreso del hogar con jefatura femenina,"941,073.28"
39,000,942,"Ampliación de Oportunidades Educativas para Niñas, Niños y Jóvenes","173,877,522.42"
39,000,948,Fortalecimiento Institucional en temas de igualdad y perspectiva de género,"21,060,794.00"
Total Unidad Responsable 000,,,,"227,130,530.13"
,INSTITUTO JALISCIENSE DE LAS MUJERES,,,
39,002,676,Programa para la igualdad entre mujeres y hombres,"6,133,750.00"
39,002,677,Programa para Incorporar la Transversalidad de la Perspectiva de Género en el Sector Público,"4,362,875.00"
39,002,678,Prevención y Atención de la Violencia contra las Mujeres,"18,383,152.00"
39,002,679,Fortalecimiento Institucional en temas de igualdad y perspectiva de género,"7,113,115.00"
Total Unidad Responsable 002,,,,"35,992,892.00"
,COMISIÓN ESTATAL INDÍGENA,,,
39,048,382,Desarrollo Integral de los Pueblos Indígenas,"5,683,501.41"
Total Unidad Responsable 048,,,,"5,683,501.41"
,FIDEICOMISO ATENCIÓN A JALISCIENSES EN EL EXTRANJERO,,,
39,140,362,Atención a Jaliscienses en el Extranjero,"4,500,000.00"
Total Unidad Responsable 140,,,,"4,500,000.00"
,CONSEJO ESTATAL PARA LA ATENCIÓN E INCLUSIÓN DE PERSONAS CON DISCAPACIDAD,,,
39,157,345,Desarrollo e Inclusión de Personas con Discapacidad,"7,861,633.12"
Total Unidad Responsable 157,,,,"7,861,633.12"
,INSTITUTO JALISCIENSE PARA LOS MIGRANTES,,,
39,159,360,Atención para el Desarrollo de Migrantes,"1,636,993.43"
Total Unidad Responsable 159,,,,"1,636,993.43"
Total Unidad Presupuestal 39,,,,"282,805,550.09"
JEFATURA DE GABINETE,,,,
,JEFATURA DE GABINETE,,,
40,000,947,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"138,864,838.00"
Total Unidad Responsable 000,,,,"138,864,838.00"
,AGENCIA DE PROYECTOS ESTRATÉGICOS,,,
40,201,936,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"19,467,192.00"
Total Unidad Responsable 201,,,,"19,467,192.00"
Total Unidad Presupuestal 40,,,,"158,332,030.00"
CONSEJERÍA JURÍDICA DEL PODER EJECUTIVO DEL ESTADO,,,,
,CONSEJERÍA JURÍDICA DEL PODER EJECUTIVO DEL ESTADO,,,
41,000,024,Atención y Seguimiento de los Asuntos Jurídicos del Gobierno del Estado,"25,378,824.00"
Total Unidad Responsable 000,,,,"25,378,824.00"
Total Unidad Presupuestal 41,,,,"25,378,824.00"
COORDINACIÓN GENERAL ESTRATÉGICA DE SEGURIDAD,,,,
,COORDINACIÓN GENERAL ESTRATÉGICA DE SEGURIDAD,,,
42,000,589,Desarrollo de Ejercicios Consultivos de Procuración de Justicia,"1,274,128.12"
42,000,937,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"49,711,004.00"
Total Unidad Responsable 000,,,,"50,985,132.12"
,INSTITUTO JALISCIENSE DE CIENCIAS FORENSES,,,
42,079,577,Ciencia Aplicada a la Dictaminación para la Procuración de Justicia,"208,806,544.75"
Total Unidad Responsable 079,,,,"208,806,544.75"
Total Unidad Presupuestal 42,,,,"259,791,676.87"
COORDINACIÓN GENERAL ESTRATÉGICA DE DESARROLLO SOCIAL,,,,
,COORDINACIÓN GENERAL ESTRATÉGICA DE DESARROLLO SOCIAL,,,
43,000,933,Fortalecimiento Institucional para la Operación de Programas Sociales,"24,380,213.00"
Total Unidad Responsable 000,,,,"24,380,213.00"
,CONSEJO ESTATAL PARA EL FOMENTO DEPORTIVO (CODE JALISCO),,,
43,012,105,"Gestión Institucional del CODE para el aprovechamiento de los espacios públicos, deportivos y de recreación","4,679,268.00"
43,012,106,Actividad Física y Bienestar para todos,"24,499,754.00"
43,012,107,Deporte de alto rendimiento en todas sus manifestaciones y expresiones,"53,640,411.00"
43,012,108,Gestión Administrativa y Operativa del CODE,"255,091,567.00"
Total Unidad Responsable 012,,,,"337,911,000.00"
Total Unidad Presupuestal 43,,,,"362,291,213.00"
COORDINACIÓN GENERAL ESTRATÉGICA DE CRECIMIENTO Y DESARROLLO ECONÓMICO,,,,
,COORDINACIÓN GENERAL ESTRATÉGICA DE CRECIMIENTO Y DESARROLLO SOCIAL,,,
44,000,938,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"11,638,333.69"
Total Unidad Responsable 000,,,,"11,638,333.69"
Total Unidad Presupuestal 44,,,,"11,638,333.69"
COORDINACIÓN GENERAL ESTRATÉGICA DE GESTIÓN DEL TERRITORIO,,,,
,COORDINACIÓN GENERAL ESTRATÉGICA DE GESTIÓN DEL TERRITORIO,,,
45,000,939,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"18,606,033.00"
Total Unidad Responsable 000,,,,"18,606,033.00"
Total Unidad Presupuestal 45,,,,"18,606,033.00"
UNIDAD DE ENLACE FEDERAL Y ASUNTOS INTERNACIONALES,,,,
,UNIDAD DE ENLACE FEDERAL Y ASUNTOS INTERNACIONALES,,,
46,000,935,"Programa de Apoyo Logístico, Técnico, de Evaluación y Difusión de las actividades del C. Gobernador y la Proyección del Estado de Jalisco.","11,237,718.00"
46,000,943,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"9,644,696.90"
Total Unidad Responsable 000,,,,"20,882,414.90"
Total Unidad Presupuestal 46,,,,"20,882,414.90"
Total Gasto Programable,,,,"90,301,257,941.12"
,,,,
,,,,
Gasto No Programable,,,,
SECRETARÍA DE LA HACIENDA PÚBLICA,,,,
,SECRETARÍA DE LA HACIENDA PÚBLICA,,,
03,000,089,Coordinación del Proceso Presupuestario y Administración de los Recursos Materiales y Desarrollo de los Recursos Humanos,"33,400,000.00"
Total Unidad Responsable 000,,,,"33,400,000.00"
Total Unidad Presupuestal 03,,,,"33,400,000.00"
DEUDA PÚBLICA,,,,
,DEUDA PÚBLICA,,,
21,000,696,Deuda Pública del Gobierno del Estado de Jalisco,"2,701,606,969.73"
Total Unidad Responsable 000,,,,"2,701,606,969.73"
Total Unidad Presupuestal 21,,,,"2,701,606,969.73"
PARTICIPACIONES,,,,
,PARTICIPACIONES,,,
22,000,695,Participaciones a Municipios del Estado de Jalisco,"17,074,499,416.15"
Total Unidad Responsable 000,,,,"17,074,499,416.15"
Total Unidad Presupuestal 22,,,,"17,074,499,416.15"
"APORTACIONES, TRANSFERENCIAS Y SUBSIDIOS A MUNICIPIOS",,,,
,"APORTACIONES, TRANSFERENCIAS Y SUBSIDIOS A MUNICIPIOS",,,
23,000,726,Subsidios Federales para la Seguridad Pública (FORTASEG),"289,263,315.00"
23,000,727,Fondo de Aportaciones para el Fortalecimiento de los Municipios (FORTAMUN),"5,032,833,237.00"
23,000,728,Fondo de Aportaciones para la Infraestructura Social Municipal (FAISM),"1,513,373,677.00"
Total Unidad Responsable 000,,,,"6,835,470,229.00"
Total Unidad Presupuestal 23,,,,"6,835,470,229.00"
Total Gasto No Programable,,,,"26,644,976,614.88"
,,,,
Total General,,,,"116,946,234,556.00"
,,,,
